Camille Min-Gaultier,2024-09-19,Tiger 5,Shady Oaks Country Club,17,18,"par, birdie, par, par, n/a, n/a",Yes,5,6,4,4
Gracie McGovern,2024-09-22,Tiger 5,Shady Oaks Country Club,0,18,"par, par, par, par, n/a, n/a",Yes,2,2,5,5
